Year,HPI Percentile Ranking,Encounter Setting,Category,Category Description,Diagnosis Group,Residence,Count
2020,1,1,1,1,1,1,1100
2020,1,1,1,1,2,1,4684
2020,1,1,1,1,3,1,1739
2020,1,1,1,1,4,1,1975
2020,1,1,1,1,1,2,386972
2020,1,1,1,1,2,2,28870
2020,1,1,1,1,3,2,73722
2020,1,1,1,1,4,2,32992
2020,1,1,1,2,1,1,2753
2020,1,1,1,2,2,1,11225
2020,1,1,1,2,3,1,2766
2020,1,1,1,2,4,1,7534
2020,1,1,1,2,1,2,269062
2020,1,1,1,2,2,2,36414
2020,1,1,1,2,3,2,45212
2020,1,1,1,2,4,2,66782
2020,2,1,1,1,1,1,1029
2020,2,1,1,1,2,1,4640
2020,2,1,1,1,3,1,1513
2020,2,1,1,1,4,1,2043
2020,2,1,1,1,1,2,356342
2020,2,1,1,1,2,2,29641
2020,2,1,1,1,3,2,84497
2020,2,1,1,1,4,2,26248
2020,2,1,1,2,1,1,2322
2020,2,1,1,2,2,1,9490
2020,2,1,1,2,3,1,2245
2020,2,1,1,2,4,1,7443
2020,2,1,1,2,1,2,259272
2020,2,1,1,2,2,2,34472
2020,2,1,1,2,3,2,48896
2020,2,1,1,2,4,2,55954
2020,3,1,1,1,1,1,669
2020,3,1,1,1,2,1,3766
2020,3,1,1,1,3,1,1258
2020,3,1,1,1,4,1,1359
2020,3,1,1,1,1,2,294930
2020,3,1,1,1,2,2,25982
2020,3,1,1,1,3,2,82640
2020,3,1,1,1,4,2,19320
2020,3,1,1,2,1,1,1689
2020,3,1,1,2,2,1,8448
2020,3,1,1,2,3,1,1706
2020,3,1,1,2,4,1,5621
2020,3,1,1,2,1,2,223797
2020,3,1,1,2,2,2,28801
2020,3,1,1,2,3,2,45568
2020,3,1,1,2,4,2,40414
2020,4,1,1,1,1,1,878
2020,4,1,1,1,2,1,4109
2020,4,1,1,1,3,1,1371
2020,4,1,1,1,4,1,1902
2020,4,1,1,1,1,2,249449
2020,4,1,1,1,2,2,19198
2020,4,1,1,1,3,2,73376
2020,4,1,1,1,4,2,12136
2020,4,1,1,2,1,1,2458
2020,4,1,1,2,2,1,9611
2020,4,1,1,2,3,1,2097
2020,4,1,1,2,4,1,8337
2020,4,1,1,2,1,2,190731
2020,4,1,1,2,2,2,22393
2020,4,1,1,2,3,2,39524
2020,4,1,1,2,4,2,27093
2020,1,1,2,3,1,1,2592
2020,1,1,2,3,2,1,11508
2020,1,1,2,3,3,1,3028
2020,1,1,2,3,4,1,7098
2020,1,1,2,3,1,2,310885
2020,1,1,2,3,2,2,33413
2020,1,1,2,3,3,2,41746
2020,1,1,2,3,4,2,54983
2020,1,1,2,4,1,1,878
2020,1,1,2,4,2,1,2161
2020,1,1,2,4,3,1,848
2020,1,1,2,4,4,1,1270
2020,1,1,2,4,1,2,176314
2020,1,1,2,4,2,2,17944
2020,1,1,2,4,3,2,51493
2020,1,1,2,4,4,2,26763
2020,1,1,2,5,1,1,75
2020,1,1,2,5,2,1,1315
2020,1,1,2,5,3,1,285
2020,1,1,2,5,4,1,581
2020,1,1,2,5,1,2,20218
2020,1,1,2,5,2,2,2576
2020,1,1,2,5,3,2,4899
2020,1,1,2,5,4,2,2983
2020,1,1,2,6,1,1,122
2020,1,1,2,6,2,1,355
2020,1,1,2,6,3,1,132
2020,1,1,2,6,4,1,158
2020,1,1,2,6,1,2,137357
2020,1,1,2,6,2,2,8841
2020,1,1,2,6,3,2,18826
2020,1,1,2,6,4,2,11812
2020,1,1,2,7,1,1,186
2020,1,1,2,7,2,1,570
2020,1,1,2,7,3,1,212
2020,1,1,2,7,4,1,407
2020,1,1,2,7,1,2,11322
2020,1,1,2,7,2,2,2514
2020,1,1,2,7,3,2,1974
2020,1,1,2,7,4,2,3242
2020,2,1,2,3,1,1,1993
2020,2,1,2,3,2,1,8442
2020,2,1,2,3,3,1,1662
2020,2,1,2,3,4,1,7186
2020,2,1,2,3,1,2,202657
2020,2,1,2,3,2,2,26075
2020,2,1,2,3,3,2,33688
2020,2,1,2,3,4,2,37038
2020,2,1,2,4,1,1,904
2020,2,1,2,4,2,1,2905
2020,2,1,2,4,3,1,1172
2020,2,1,2,4,4,1,1521
2020,2,1,2,4,1,2,199081
2020,2,1,2,4,2,2,20183
2020,2,1,2,4,3,2,64329
2020,2,1,2,4,4,2,25073
2020,2,1,2,5,1,1,87
2020,2,1,2,5,2,1,222
2020,2,1,2,5,3,1,84
2020,2,1,2,5,4,1,111
2020,2,1,2,5,1,2,17759
2020,2,1,2,5,2,2,2278
2020,2,1,2,5,3,2,4688
2020,2,1,2,5,4,2,2468
2020,2,1,2,6,1,1,180
2020,2,1,2,6,2,1,1541
2020,2,1,2,6,3,1,499
2020,2,1,2,6,4,1,239
2020,2,1,2,6,1,2,185155
2020,2,1,2,6,2,2,12974
2020,2,1,2,6,3,2,28639
2020,2,1,2,6,4,2,14865
2020,2,1,2,7,1,1,188
2020,2,1,2,7,2,1,1022
2020,2,1,2,7,3,1,341
2020,2,1,2,7,4,1,430
2020,2,1,2,7,1,2,11011
2020,2,1,2,7,2,2,2605
2020,2,1,2,7,3,2,2055
2020,2,1,2,7,4,2,2761
2020,3,1,2,3,1,1,1337
2020,3,1,2,3,2,1,5659
2020,3,1,2,3,3,1,1149
2020,3,1,2,3,4,1,5250
2020,3,1,2,3,1,2,104247
2020,3,1,2,3,2,2,17584
2020,3,1,2,3,3,2,21265
2020,3,1,2,3,4,2,21504
2020,3,1,2,4,1,1,701
2020,3,1,2,4,2,1,2509
2020,3,1,2,4,3,1,984
2020,3,1,2,4,4,1,1051
2020,3,1,2,4,1,2,186802
2020,3,1,2,4,2,2,16673
2020,3,1,2,4,3,2,64678
2020,3,1,2,4,4,2,19488
2020,3,1,2,5,1,1,61
2020,3,1,2,5,2,1,480
2020,3,1,2,5,3,1,114
2020,3,1,2,5,4,1,87
2020,3,1,2,5,1,2,16210
2020,3,1,2,5,2,2,2196
2020,3,1,2,5,3,2,4256
2020,3,1,2,5,4,2,1857
2020,3,1,2,6,1,1,144
2020,3,1,2,6,2,1,1010
2020,3,1,2,6,3,1,236
2020,3,1,2,6,4,1,304
