Year,HPI Percentile Ranking,Encounter Setting,Category,Category Description,Diagnosis Group,Residence,Count
2020,0-25 (Least Healthy),Inpatient,Sex,Female,All Other Diagnoses,Homeless,1100
2020,0-25 (Least Healthy),Inpatient,Sex,Female,Co-Occuring Disorders,Homeless,4684
2020,0-25 (Least Healthy),Inpatient,Sex,Female,Mental Health Disorders,Homeless,1739
2020,0-25 (Least Healthy),Inpatient,Sex,Female,Substance Use Disorders,Homeless,1975
2020,0-25 (Least Healthy),Inpatient,Sex,Female,All Other Diagnoses,Not Homeless,386972
2020,0-25 (Least Healthy),Inpatient,Sex,Female,Co-Occuring Disorders,Not Homeless,28870
2020,0-25 (Least Healthy),Inpatient,Sex,Female,Mental Health Disorders,Not Homeless,73722
2020,0-25 (Least Healthy),Inpatient,Sex,Female,Substance Use Disorders,Not Homeless,32992
2020,0-25 (Least Healthy),Inpatient,Sex,Male,All Other Diagnoses,Homeless,2753
2020,0-25 (Least Healthy),Inpatient,Sex,Male,Co-Occuring Disorders,Homeless,11225
2020,0-25 (Least Healthy),Inpatient,Sex,Male,Mental Health Disorders,Homeless,2766
2020,0-25 (Least Healthy),Inpatient,Sex,Male,Substance Use Disorders,Homeless,7534
2020,0-25 (Least Healthy),Inpatient,Sex,Male,All Other Diagnoses,Not Homeless,269062
2020,0-25 (Least Healthy),Inpatient,Sex,Male,Co-Occuring Disorders,Not Homeless,36414
2020,0-25 (Least Healthy),Inpatient,Sex,Male,Mental Health Disorders,Not Homeless,45212
2020,0-25 (Least Healthy),Inpatient,Sex,Male,Substance Use Disorders,Not Homeless,66782
2020,25.01-50 (Somewhat Unhealthy),Inpatient,Sex,Female,All Other Diagnoses,Homeless,1029
2020,25.01-50 (Somewhat Unhealthy),Inpatient,Sex,Female,Co-Occuring Disorders,Homeless,4640
2020,25.01-50 (Somewhat Unhealthy),Inpatient,Sex,Female,Mental Health Disorders,Homeless,1513
2020,25.01-50 (Somewhat Unhealthy),Inpatient,Sex,Female,Substance Use Disorders,Homeless,2043
2020,25.01-50 (Somewhat Unhealthy),Inpatient,Sex,Female,All Other Diagnoses,Not Homeless,356342
2020,25.01-50 (Somewhat Unhealthy),Inpatient,Sex,Female,Co-Occuring Disorders,Not Homeless,29641
2020,25.01-50 (Somewhat Unhealthy),Inpatient,Sex,Female,Mental Health Disorders,Not Homeless,84497
2020,25.01-50 (Somewhat Unhealthy),Inpatient,Sex,Female,Substance Use Disorders,Not Homeless,26248
2020,25.01-50 (Somewhat Unhealthy),Inpatient,Sex,Male,All Other Diagnoses,Homeless,2322
2020,25.01-50 (Somewhat Unhealthy),Inpatient,Sex,Male,Co-Occuring Disorders,Homeless,9490
2020,25.01-50 (Somewhat Unhealthy),Inpatient,Sex,Male,Mental Health Disorders,Homeless,2245
2020,25.01-50 (Somewhat Unhealthy),Inpatient,Sex,Male,Substance Use Disorders,Homeless,7443
2020,25.01-50 (Somewhat Unhealthy),Inpatient,Sex,Male,All Other Diagnoses,Not Homeless,259272
2020,25.01-50 (Somewhat Unhealthy),Inpatient,Sex,Male,Co-Occuring Disorders,Not Homeless,34472
2020,25.01-50 (Somewhat Unhealthy),Inpatient,Sex,Male,Mental Health Disorders,Not Homeless,48896
2020,25.01-50 (Somewhat Unhealthy),Inpatient,Sex,Male,Substance Use Disorders,Not Homeless,55954
2020,50.01-75 (Somewhat Healthy),Inpatient,Sex,Female,All Other Diagnoses,Homeless,669
2020,50.01-75 (Somewhat Healthy),Inpatient,Sex,Female,Co-Occuring Disorders,Homeless,3766
2020,50.01-75 (Somewhat Healthy),Inpatient,Sex,Female,Mental Health Disorders,Homeless,1258
2020,50.01-75 (Somewhat Healthy),Inpatient,Sex,Female,Substance Use Disorders,Homeless,1359
2020,50.01-75 (Somewhat Healthy),Inpatient,Sex,Female,All Other Diagnoses,Not Homeless,294930
2020,50.01-75 (Somewhat Healthy),Inpatient,Sex,Female,Co-Occuring Disorders,Not Homeless,25982
2020,50.01-75 (Somewhat Healthy),Inpatient,Sex,Female,Mental Health Disorders,Not Homeless,82640
2020,50.01-75 (Somewhat Healthy),Inpatient,Sex,Female,Substance Use Disorders,Not Homeless,19320
2020,50.01-75 (Somewhat Healthy),Inpatient,Sex,Male,All Other Diagnoses,Homeless,1689
2020,50.01-75 (Somewhat Healthy),Inpatient,Sex,Male,Co-Occuring Disorders,Homeless,8448
2020,50.01-75 (Somewhat Healthy),Inpatient,Sex,Male,Mental Health Disorders,Homeless,1706
2020,50.01-75 (Somewhat Healthy),Inpatient,Sex,Male,Substance Use Disorders,Homeless,5621
2020,50.01-75 (Somewhat Healthy),Inpatient,Sex,Male,All Other Diagnoses,Not Homeless,223797
2020,50.01-75 (Somewhat Healthy),Inpatient,Sex,Male,Co-Occuring Disorders,Not Homeless,28801
2020,50.01-75 (Somewhat Healthy),Inpatient,Sex,Male,Mental Health Disorders,Not Homeless,45568
2020,50.01-75 (Somewhat Healthy),Inpatient,Sex,Male,Substance Use Disorders,Not Homeless,40414
2020,75.01-100 (Most Healthy),Inpatient,Sex,Female,All Other Diagnoses,Homeless,878
2020,75.01-100 (Most Healthy),Inpatient,Sex,Female,Co-Occuring Disorders,Homeless,4109
2020,75.01-100 (Most Healthy),Inpatient,Sex,Female,Mental Health Disorders,Homeless,1371
2020,75.01-100 (Most Healthy),Inpatient,Sex,Female,Substance Use Disorders,Homeless,1902
2020,75.01-100 (Most Healthy),Inpatient,Sex,Female,All Other Diagnoses,Not Homeless,249449
2020,75.01-100 (Most Healthy),Inpatient,Sex,Female,Co-Occuring Disorders,Not Homeless,19198
